שם השכונה,מספר מקלט,כתובת,שטח,סוג,נגישות,מס' נפשות,שייכות,קואורדינטות ציר x,קורדינטות ציר y,כתובות למפה,מינהל,שכונה,קטגוריה
,"בי""ס ממ""ד נועם בנות-פסגת זאב מזרח",יוסף נדבה 47,,,יסודי,,,31.815421650053434,35.25318187099739,"יוסף נדבה 47, ירושלים",פסגת זאב - 532,פסגת זאב,"פסגת זאב, מקלט בבית ספר"
,"בי""ס תיכון-פסגת זאב ע""ש טדי קולק",שד משה דיין 101,,,על יסודי,,,31.8290279,35.23996078,"שד משה דיין 101, ירושלים",,,"פסגת זאב, מקלט בבית ספר"
,"בי""ס ישיבת בני עקיבא-נתיבות חיים",חיל האויר 60,,,על יסודי,,,"31.829992228486592 ",35.23986203245196,"חיל האויר 60, ירושלים",,,"פסגת זאב, מקלט בבית ספר"
,"בי""ס יוסף ה עליכם-בנים",מזל דלי 21,,,יסודי,,,31.833640914807113,35.23402412081074,"מזל דלי 21, ירושלים",,,"פסגת זאב, מקלט בבית ספר"
,"אום טובא בי""ס מכין בנות",אלתון 48,,,יסודי,,,31.732042590035505,35.23234821173616,"אלתון 48, ירושלים",,,"צור באחר - אום טובה, מקלט בבית ספר"
,"אום טובא בי""ס מכין בנים",אלסדר 19,,,יסודי,,,31.732115590474177,35.234579809636536,"אלסדר 19, ירושלים",,,"צור באחר - אום טובה, מקלט בבית ספר"
,"אום טובא בי""ס תיכון בנים",אלסדר 13,,,על יסודי,,,31.73117209249253,35.235396921948826,"אלסדר 13, ירושלים",,,"צור באחר - אום טובה, מקלט בבית ספר"
,"בי""ס צור באהר אבן רושד תיכון בנים",אל מדינה אל מונאוורה 171,,,על יסודי,,,31.73814175853294,35.22924945084251,"אל מדינה אל מונאוורה 171, ירושלים",,,"צור באחר - אום טובה, מקלט בבית ספר"
,"בי""ס צור באהר יסודי בנות שמס אלגד",ד'את אל נטאקין 23,,,יסודי,,,31.733550922360962,35.242444276179505,"ד'את אל נטאקין 23, ירושלים",,,"צור באחר - אום טובה, מקלט בבית ספר"
,"בי""ס צור באהר מכין בנות",שקאא'יק אל נעמאן 7,,,יסודי,,,31.73731039,35.23009658,"שקאא'יק אל נעמאן 7, ירושלים",,,"צור באחר - אום טובה, מקלט בבית ספר"
,"בי""ס צור באהר תיכון בנות",אל מדינה אל מונאוורה 146,,,על יסודי,,,31.739335109439097,35.22911081511643,"אל מדינה אל מונאוורה 146, ירושלים",,,"צור באחר - אום טובה, מקלט בבית ספר"
,"בית ספר ממ""ד חורב בנים",כובשי קטמון 15,,,יסודי,,,31.765301937767774,35.21176334839173,"כובשי קטמון 15, ירושלים",,,"קטמון, מקלט בבית ספר"
,"בית ספר ממ""ד חורב בנות",בוסתנאי 10,,,יסודי,,,31.765493882646414,35.21257939507208,"בוסתנאי 10, ירושלים",,,"קטמון הישנה, מקלט בבית ספר"
,"בי""ס ממ""ד ת""ת מאור התורה לבנים ""מימון",בן ציון 7,,,יסודי,,,31.788843492624675,35.196761900785035,"בן ציון 7, ירושלים",,,"קריית משה, מקלט בבית ספר"
,ישיבת חדוות התורה,האדריכל 4,,,על יסודי,,,31.790678937042316,35.204481460825725,"האדריכל 4, ירושלים",,,"רוממה, מקלט בבית ספר"
,"בית ספר ממ""ד נועם בנות ק.משה",בזל 3,,,יסודי,,,31.78431893003941,35.192348377958346,"בזל 3, ירושלים",,,"קריית משה, מקלט בבית ספר"
,"בית ספר מ""מ אגרון",ישראל זנגויל 29,,,יסודי,,,31.763469394676648,35.177352776898175,"ישראל זנגויל 29, ירושלים",,,"קריית יובל, מקלט בבית ספר"
,ישיבת מקור חיים-שפע,י.נ. אפשטיין 5,,,על יסודי,,,31.770013992030893,35.17864782289583,"י.נ. אפשטיין 5, ירושלים",,,"קריית יובל, מקלט בבית ספר"
